1,-,56279,0,0,319,480,544,332,0,0,enabled,o,go 55086;
2,-,56279,0,35,169,381,432,176,0,40,enabled,,
3,page,56279,43,175,93,125,142,97,45,199,enabled,,?? ST_BluePage|ca ST_AchenarRoom returnPage: |ca X_Global grabPage:ST_BluePage;go 56279;
4,-,57160,0,0,266,109,124,277,0,0,enabled,l,go 56690;
5,m7,57160,11,132,109,212,241,114,12,150,enabled,,
6,close7,57160,20,139,17,197,224,18,21,158,enabled,,ca ST_AchenarRoom resetDresser:7;
7,open7,57160,102,132,17,195,221,18,107,150,enabled,,ca ST_AchenarRoom openDrawer:7;
8,m6,57160,13,123,120,229,260,125,14,140,enabled,,
9,close6,57160,23,132,16,213,242,17,24,150,enabled,,ca ST_AchenarRoom resetDresser:6;
10,open6,57160,113,123,19,212,241,20,118,140,enabled,,ca ST_AchenarRoom openDrawer:6;
11,-,57160,48,77,185,260,295,193,50,88,disabled,,
12,-,57160,0,367,266,111,126,277,0,416,enabled,r,go 56690;
13,m5,57160,11,109,133,256,291,139,12,124,enabled,,
14,close5,57160,26,118,15,239,271,16,28,134,enabled,,ca ST_AchenarRoom resetDresser:5;
15,open5,57160,125,109,18,224,254,19,131,124,enabled,,ca ST_AchenarRoom openDrawer:5;
16,m4,57160,15,93,137,289,328,143,16,106,enabled,,
17,close4,57160,24,97,20,273,310,21,25,110,enabled,,ca ST_AchenarRoom resetDresser:4;
18,open4,57160,133,93,18,290,329,19,139,106,enabled,,ca ST_AchenarRoom openDrawer:4;
19,m3,57160,24,82,146,307,348,152,25,93,enabled,,
20,close3,57160,22,87,29,304,345,31,23,99,enabled,,ca ST_AchenarRoom resetDresser:3;
21,open3,57160,147,82,22,279,317,23,153,93,enabled,,ca ST_AchenarRoom openDrawer:3;
22,m2,57160,1,38,193,398,452,201,2,44,enabled,,
23,close2,57160,24,58,35,353,401,37,25,66,enabled,,ca ST_AchenarRoom resetDresser:2;
24,open2,57160,165,37,28,349,396,30,172,42,enabled,,ca ST_AchenarRoom openDrawer:2;
25,m1,57160,18,22,205,458,520,214,19,25,enabled,,
26,close1,57160,25,30,40,416,472,42,27,34,enabled,,ca ST_AchenarRoom resetDresser:1;
27,open1,57160,185,22,37,367,416,39,193,25,enabled,,ca ST_AchenarRoom openDrawer:1;
28,halfPage,57160,49,209,57,34,39,60,51,237,enabled,o,go 49743;
29,-,57160,233,0,86,480,544,90,243,0,enabled,,
30,-,57160,257,128,62,196,223,65,268,146,enabled,o,go 57056;
31,-,56690,0,0,319,480,544,332,0,0,enabled,o,go 55640;pm MU Achenar Rm Mov;vm 180;
32,-,56690,248,188,42,94,107,44,259,214,enabled,o,go 57056;
33,-,56690,25,128,223,207,235,233,27,146,enabled,o,go 57160;pm MU Achenar Rm Mov;vm 120;
34,-,56690,261,369,58,89,101,61,272,419,enabled,o,go 54808;
35,-,56690,257,30,62,71,81,65,268,34,enabled,o,go 54156;
36,-,57056,0,0,319,480,544,332,0,0,enabled,o,ca ST_AchenarRoom leavingCard:;go 56690;pm MU Achenar Rm Mov;vm 255;
37,down,57056,0,0,88,480,544,92,0,0,enabled,d,ca ST_AchenarRoom leavingCard:;go 57160;pm MU Achenar Rm Mov;vm 255;
38,-,57056,57,120,147,224,254,153,60,136,enabled,,
39,marker,57056,64,122,36,45,51,38,67,139,enabled,,
40,limit,57056,33,123,68,217,246,71,35,140,enabled,,cb ST_AchenarRoom pullHandleBegan:\pullHandleMoved:limit\pullHandleEnded:;
41,marker2,57056,180,168,138,116,132,144,188,191,enabled,,
42,button,57056,126,217,23,26,30,24,132,246,enabled,,
43,-,54156,22,0,297,480,544,310,23,0,enabled,,go pop;
44,-,54156,48,165,239,158,180,249,50,187,enabled,,
45,-,54808,0,0,319,480,544,332,0,0,enabled,,go pop;
46,-,54808,45,161,244,159,181,254,47,183,enabled,,
47,-,56057,0,0,319,480,544,332,0,0,enabled,o,go 54590;
48,-,56057,6,187,278,105,119,290,7,212,enabled,,
49,-,56057,7,27,70,163,185,73,8,31,enabled,,
50,-,49743,0,0,319,480,544,332,0,0,enabled,o,go 57160;
51,-,49743,55,127,206,106,121,215,58,144,enabled,,
52,-,54498,0,41,319,397,450,332,0,47,enabled,o,go 54590;pm MU Achenar Rm Mov;vm 255;
53,right,54498,0,437,319,42,48,332,0,496,enabled,r,go 56476;
54,-,54498,21,464,152,15,17,159,22,526,enabled,o,go 55640;pm MU Achenar Rm Mov;vm 255;
55,left,54498,0,0,319,42,48,332,0,0,enabled,l,go 56476;
56,-,54498,0,0,107,124,141,112,0,0,enabled,o,go 55086;pm MU Achenar Rm Mov;vm 255;
57,marker,56476,7,156,278,169,192,290,8,177,enabled,,
58,left,56476,0,0,319,157,178,332,0,0,enabled,l,go 54498;
59,-,56476,1,163,280,163,185,292,2,185,enabled,o,go 34559;pm EV Drip II Mov;vm 90;in 1\ps DR FrplDr Up;sv ST_TunnelDoor=NO;
60,right,56476,0,322,319,157,178,332,0,365,enabled,r,go 54498;
61,right,55640,0,341,319,138,157,332,0,387,enabled,r,go 55464;
62,left,55640,0,0,319,138,157,332,0,0,enabled,l,go 54590;
63,-,55640,0,159,200,171,194,209,0,181,enabled,o,go 56690;pm MU Achenar Rm Mov;vm 180;
64,-,55640,166,127,71,45,51,74,173,144,enabled,o,go 54156;
65,-,55640,166,320,71,45,51,74,173,363,enabled,o,go 54808;
66,left,54590,0,0,319,140,159,332,0,0,enabled,l,go 55086;
67,right,54590,0,339,319,140,159,332,0,385,enabled,r,go 55640;
68,-,54590,0,157,271,167,190,283,0,178,enabled,o,go 56057;
69,marker,55464,32,188,186,103,117,194,34,214,enabled,,
70,right,55464,0,352,319,127,144,332,0,399,enabled,r,go 55086;
71,left,55464,0,0,319,127,144,332,0,0,enabled,l,go 55640;
72,-,55464,0,162,251,156,177,262,0,184,enabled,o,go 56476;pm MU Achenar Rm Mov;vm 140;
73,page,55086,81,210,22,52,59,23,85,238,enabled,,
