,1,87864,Achenar 1-E
,2,87805,Achenar 1-N
?? CH_BluePage|sc marker=Achenar 1-S (noPage);,3,88272,Achenar 1-S
?? CH_BluePage|sc marker=Achenar 1-W (noPage);,4,88498,Achenar 1-W
?? Ch_monitor=1|sc buttonmarker=Achenar Button1;?? Ch_monitor=2|sc buttonmarker=Achenar Button2;?? Ch_monitor=3|sc buttonmarker=Achenar Button3;?? Ch_monitor=4|sc buttonmarker=Achenar Button4;zm 2.0=100=0=0.5;,5,88814,Achenar Monitor
,6,26005,black
,7,11327,Boardwalk 1-N
?? Ch_elevator1|sc marker=Boardwalk 1-S (Elev1Up);ca CH_WaterSound enterZone:4;,8,11029,Boardwalk 1-S
pa moovmarker=BW 10-N Windmill\0=0=28=108\12\0.1\YES;ca CH_WaterSound enterZone:5;,9,15551,Boardwalk 10-N
?? Ch_lowerstairs|sc marker=Boardwalk 10-S (DoorOpen);?? Ch_elevator1|sc marker2=Boardwalk 10-S (Elev1Up);,10,15273,Boardwalk 10-S
pa moovmarker=BW 11-N Windmill\0=0=36=96\12\0.1\YES;,11,15906,Boardwalk 11-N
?? Ch_lowerstairs|sc marker=Boardwalk 11-S (DoorOpen);?? Ch_elevator1|sc marker2=Boardwalk 11-S (Elev1Up);,12,15662,Boardwalk 11-S
ca CH_WaterSound enterZone:6;,13,16582,Boardwalk 12-E
?? Ch_lowerstairs|sc marker=Boardwalk 12-W (doorOpen);ca CH_WaterSound enterZone:6;,14,16172,Boardwalk 12-W
,15,17121,Boardwalk 13-E
?? Ch_lowerstairs|sc Boardwalk 13-W DoorOpen;ca CH_WaterSound enterZone:7;,16,16663,Boardwalk 13-W
pa moovmarker=BW 14-N Windmill\0=0=32=92\12\0.1\YES;,17,18197,Boardwalk 14-N
?? Ch_elevator1|sc marker=Boardwalk 14-S (Elev1Up);?? Ch_pipebridge|sc marker2=Boardwalk 14-S (Pipe);,18,17973,Boardwalk 14-S
,19,18775,Boardwalk 15-N
,20,18638,Boardwalk 15-S
ca CH_WaterSound enterZone:8;,21,19212,Boardwalk 16-N
?? Ch_waterpath3|sc marker=Boardwalk 16-S (Switch);,22,19143,Boardwalk 16-S
pa moovmarker=BW 17-N Windmill\0=0=32=92\12\0.1\YES;?? Ch_waterpath3|sc marker=Boardwalk 17-N (SwLeft);,23,19870,Boardwalk 17-N
?? Ch_pipebridge|sc marker=Boardwalk 17-S (Pipe);ca CH_WaterSound enterZone:9;,24,19459,Boardwalk 17-S
?? Ch_waterpath3|sc marker=Boardwalk 18-E (SwLeft);,25,32368,Boardwalk 18-E
ca CH_WaterSound enterZone:10;,26,32060,Boardwalk 18-W
pa moovmarker=BW 19-N Windmill\0=0=60=92\12\0.1\YES;ca CH_WaterSound enterZone:9;,27,20241,Boardwalk 19-N
?? Ch_pipebridge|sc marker=Boardwalk 19-S (Pipe);?? Ch_bridge|sc marker2=Boardwalk 19-S (BridgeUp);?? Ch_waterpath4|sc marker3=Boardwalk 19-S (SwLeft);,28,20137,Boardwalk 19-S
,29,11997,Boardwalk 2-N
?? Ch_elevator1|sc marker=Boardwalk 2-S (Elev1Up);,30,11657,Boardwalk 2-S
pa moovmarker=BW 20-N Windmill\0=0=40=60\12\0.1\YES;?? Ch_waterpath4|sc marker=Boardwalk 20-N (SwLeft);,31,20934,Boardwalk 20-N
?? Ch_pipebridge|sc marker=Boardwalk 20-S (Pipe);?? Ch_elevator1|sc marker2=Boardwalk 20-S (Elev1Up);ca CH_WaterSound enterZone:15;,32,20680,Boardwalk 20-S
?? Ch_waterpath4|sc marker=Boardwalk 21-N (SwLeft);?? Ch_lowerstairs|sc marker2=Boardwalk 21-N (DoorOpen);,33,2465,Boardwalk 21-N
?? Ch_bridge|sc marker=Boardwalk 21-S (BridgeUp);ca CH_WaterSound enterZone:14;,34,2153,Boardwalk 21-S
pa moovmarker=BW 22-N Windmill\0=0=56=104\12\0.1\YES;ca CH_WaterSound enterZone:15;,35,21506,Boardwalk 22-N
?? Ch_waterpath5|sc marker=Boardwalk 22-S (SwLeft);?? Ch_elevator1|sc marker2=Boardwalk 22-S (Elev1Up);?? Ch_pipebridge|sc marker3=Boardwalk 22-S (Pipe);,36,21498,Boardwalk 22-S
?? Ch_waterpath5|sc marker=Boardwalk 23-E (SwLeft);,37,22077,Boardwalk 23-E
?? Ch_elevator1|sc marker=Boardwalk 23-W (Elev1Up);ca CH_WaterSound enterZone:16;,38,21943,Boardwalk 23-W
pa moovmarker=BW 24-N Windmill\0=0=64=68\12\0.1\YES;?? Ch_waterpath5|sc marker=Boardwalk 24-N (SwLeft);?? Ch_lowerstairs|sc marker2=Boardwalk 24-N (DoorOpen);,39,24265,Boardwalk 24-N
?? Ch_pipebridge|sc marker=Boardwalk 24-S (Pipe);?? Ch_bridge|sc marker2=Boardwalk 24-S (BridgeUp);ca CH_WaterSound enterZone:19;,40,23887,Boardwalk 24-S
ca CH_WaterSound enterZone:16;,41,22730,Boardwalk 25-E
?? Ch_elevator1|sc marker=Boardwalk 25-W (Elev1Up);,42,22520,Boardwalk 25-W
?? Ch_pipebridge|sc marker2=Boardwalk 26-E (Pipe);?? Ch_bridge|sc marker=Boardwalk 26-E (BridgeUp);ca CH_WaterSound enterZone:17;,43,23050,Boardwalk 26-E
?? Ch_elevator1|sc marker=Boardwalk 26-W (Elev1Up);ca CH_WaterSound enterZone:17;,44,22799,Boardwalk 26-W
?? Ch_pipebridge|sc marker=Boardwalk 27-E (Pipe);?? Ch_bridge|sc marker2=Boardwalk 27-E (Bridge);,45,23632,Boardwalk 27-E
ca CH_WaterSound enterZone:18;,46,23467,Boardwalk 27-W
?? Ch_elevator1|sc marker=Boardwalk 27-w lookup (ElevUp);,47,98985,Boardwalk 27-W LookUp
pa moovmarker=BW 28-N Windmill\0=0=68=60\12\0.1\YES;?? Ch_lowerstairs|sc marker=Boardwalk 28-N (DoorOpen);,48,24693,Boardwalk 28-N
?? Ch_pipebridge|sc marker=Boardwalk 28-S (Pipe);,49,24323,Boardwalk 28-S
pa moovmarker=BW 29-N Windmill\0=0=68=84\12\0.1\YES;,50,25142,Boardwalk 29-N
?? Ch_pipebridge|sc marker=Boardwalk 29-S (Pipe);,51,24946,Boardwalk 29-S
,52,12417,Boardwalk 3-N
,53,12062,Boardwalk 3-S
pa moovmarker=BW 30-N Windmill\0=0=76=128\12\0.1\YES;,54,25804,Boardwalk 30-N
?? Ch_pipebridge|sc marker=Boardwalk 30-S (Pipe);,55,25490,Boardwalk 30-S
pa moovmarker=BW 31-N Windmill\0=0=52=112\12\0.1\YES;ca CH_WaterSound enterZone:14;,56,26717,Boardwalk 31-N
?? Ch_bridge|sc marker=Boardwalk 31-S (BridgeUp);?? Ch_waterpath6|sc marker2=Boardwalk 31-S (SwLeft);,57,26492,Boardwalk 31-S
